2026-03-23 00:11:01,147 | INFO     | tuner | LGBM best AUC: 0.8084  params={'n_estimators': 536, 'num_leaves': 22, 'learning_rate': 0.027454995855848343, 'feature_fraction': 0.9131311605492904, 'bagging_fraction': 0.6517361138291337, 'bagging_freq': 3, 'min_child_samples': 49, 'reg_alpha': 1.9925955091224767, 'reg_lambda': 1.6683508755478358, 'random_state': 42, 'n_jobs': -1, 'verbose': -1}
2026-03-23 00:11:01,148 | INFO     | tuner | Tuning LSTM (30 trials)...
2026-03-23 00:13:12,572 | INFO     | tuner | LSTM best AUC: 0.8961  params={'units_1': 170, 'units_2': 65, 'dropout': 0.30174595327472226, 'learning_rate': 0.000439666099414314, 'batch_size': 32, 'epochs': 77}
2026-03-23 00:13:12,572 | INFO     | models |   Fitting xgb…
2026-03-23 00:13:12,861 | INFO     | models |   Fitting lgbm…
2026-03-23 00:13:12,879 | INFO     | models |   Fitting lstm…
2026-03-23 00:13:16,877 | INFO     | transformer_pipeline | [transformer] Fine-tuning on HPG...
2026-03-23 00:13:17,101 | INFO     | transformer_pipeline | [transformer] HPG: transferred pre-trained weights
2026-03-23 00:13:29,721 | INFO     | transformer_pipeline | [transformer] HPG fine-tune TEST: AUC=0.4892  Acc=0.4750
2026-03-23 00:13:29,952 | INFO     | pipeline |   Transformer val predictions ready: 93 samples
2026-03-23 00:13:29,960 | INFO     | tuner | Tuning 4-model ensemble weights (XGB+LGBM+LSTM+Transformer)...
2026-03-23 00:13:30,316 | INFO     | tuner | 4-model weights: {'xgb': 0.10121767142536103, 'lgbm': 0.576053256352392, 'lstm': 0.30297026332253335, 'transformer': 0.01975880889971362}  AUC=0.8770
2026-03-23 00:13:30,327 | INFO     | pipeline |   TEST HPG  AUC=0.7268  Acc=0.5376
2026-03-23 00:13:30,338 | INFO     | models | Saved ensemble for HPG h=5
2026-03-23 00:13:30,345 | INFO     | pipeline | --- VCB -----------------------------------
2026-03-23 00:13:30,411 | INFO     | features | Feature matrix: 738 rows × 108 columns
2026-03-23 00:13:30,413 | INFO     | target_engineering |   Vol-adjusted labels: 69.2% of rows kept (threshold=0.3x daily vol, dropped 30.8% near-zero moves)
2026-03-23 00:13:30,415 | INFO     | target_engineering |   Vol-adjusted labels: 79.8% of rows kept (threshold=0.3x daily vol, dropped 20.2% near-zero moves)
2026-03-23 00:13:30,418 | INFO     | target_engineering |   Vol-adjusted labels: 82.0% of rows kept (threshold=0.3x daily vol, dropped 18.0% near-zero moves)
2026-03-23 00:13:30,420 | INFO     | target_engineering |   Vol-adjusted labels: 87.7% of rows kept (threshold=0.3x daily vol, dropped 12.3% near-zero moves)
2026-03-23 00:13:30,427 | INFO     | pipeline |   Splits: train=425, val=90, test=90
2026-03-23 00:13:30,536 | INFO     | target_engineering |   Feature selection: kept 40/99 features (dropped 59 low-importance)
2026-03-23 00:13:30,537 | INFO     | tuner | Tuning XGBoost (60 trials)...
2026-03-23 00:13:41,928 | INFO     | tuner | XGB best AUC: 0.7961  params={'n_estimators': 494, 'max_depth': 4, 'learning_rate': 0.24444827412822842, 'subsample': 0.7488629959204098, 'colsample_bytree': 0.7865173937302262, 'min_child_weight': 3, 'gamma': 0.45064951425746713, 'reg_alpha': 1.3827307678110554, 'reg_lambda': 3.5011862575597865, 'eval_metric': 'logloss', 'random_state': 42, 'n_jobs': -1}
2026-03-23 00:13:41,929 | INFO     | tuner | Tuning LightGBM (60 trials)...
2026-03-23 00:13:44,796 | INFO     | tuner | LGBM best AUC: 0.8387  params={'n_estimators': 149, 'num_leaves': 113, 'learning_rate': 0.2667468662417764, 'feature_fraction': 0.9837682668453769, 'bagging_fraction': 0.9971559991442825, 'bagging_freq': 7, 'min_child_samples': 20, 'reg_alpha': 1.5888203464210768, 'reg_lambda': 0.03015961173962256, 'random_state': 42, 'n_jobs': -1, 'verbose': -1}
2026-03-23 00:13:44,797 | INFO     | tuner | Tuning LSTM (30 trials)...
2026-03-23 00:15:05,836 | INFO     | tuner | LSTM best AUC: 0.8300  params={'units_1': 167, 'units_2': 81, 'dropout': 0.25783786536684095, 'learning_rate': 0.0018030612193791775, 'batch_size': 64, 'epochs': 65}
2026-03-23 00:15:05,837 | INFO     | models |   Fitting xgb…
2026-03-23 00:15:06,014 | INFO     | models |   Fitting lgbm…
2026-03-23 00:15:06,073 | INFO     | models |   Fitting lstm…
